amostra,arquivo,tratamento,area_px,area_cm2,perimetro_px,perimetro_cm,diametro_equiv_cm,circularidade_img,R_mean,R_std,G_mean,G_std,B_mean,B_std,R_ratio,G_ratio,B_ratio,RG_ratio,RG_diff_norm,H_mean,H_std,S_mean,S_std,V_mean,V_std,L_mean,L_std,a_mean,a_std,b_mean,b_std,GLCM_contrast,GLCM_homogeneity,GLCM_energy,GLCM_correlation
33,alaranjado_33.png,alaranjado,4851.5,20.268739204416587,294.3502860069275,19.025663515578735,5.080055145073439,0.7036504592828612,178.32737497489455,63.50694157805348,139.23056838722636,63.133913261526025,45.32556738300864,44.915142269347726,0.5002582044371074,0.37555220362928626,0.12418958762394923,1.2808061890412346,0.12311707920329944,23.992970475999197,16.025541686194043,183.83691504318136,57.53610352186376,179.12793733681463,63.35786629546206,152.99859409519985,58.81467073020782,6.252460333400279,19.22239928145164,51.18055834504921,23.59429245139477,34.546084381385114,0.4686253180020969,0.1928778566385259,0.9511193661758267
34,alaranjado_34.png,alaranjado,5411.0,22.606234738760826,309.7644991874695,20.02197861113631,5.364993199152824,0.7086374672882776,203.7708671353885,53.2572014512885,195.0652605011718,53.0957181585047,56.91238507301244,47.37555675924759,0.44982767214287256,0.42476603504900146,0.12540628962432906,1.044629195209955,0.021827527671520696,30.020010816657653,14.380436972284764,180.5246078961601,55.9741232015741,207.68108887687038,53.12082490190728,196.38867856499007,51.39931236078638,-11.263565891472865,9.091374249917235,63.23291869478999,23.933758221255886,35.687336172269426,0.5959401391076583,0.20957540854047252,0.9606214629918677
35,alaranjado_35.png,alaranjado,5420.0,22.64383520312025,300.93607223033905,19.451343253729945,5.369453084354018,0.752074136780336,196.19272334293947,47.032206196102905,130.92633285302594,45.568259732553685,44.31448126801153,48.711671024912235,0.540766234788488,0.3494002617962503,0.10983349974458126,1.4984970369916542,0.19951876558147072,21.296829971181555,23.81721046736151,197.17579250720462,53.653021263059856,196.68119596541786,47.30661322747398,153.00828530259366,43.72547402061897,18.736491354466864,11.746784209919792,52.565742074927954,19.631686089810618,18.526227212053804,0.5859478419678592,0.18383084983795756,0.9664007683194699
36,alaranjado_36.png,alaranjado,4225.0,17.651329102063293,260.9360727071762,16.86589806230555,4.7407141054783715,0.7797732524322645,188.6050265160249,48.54506263185594,122.7860272077473,53.94638076387562,45.22642379525017,48.74713391321421,0.5489760898239869,0.3348984680521536,0.11612543812937011,1.5360463178832973,0.21137087372873997,20.567442932902928,22.421757087749278,192.055798939359,55.94795354846884,189.3495503804473,48.85994742100819,147.02490200599493,46.60058284070806,19.484436246253182,20.548335181438855,49.86580585658288,18.730950042932797,20.858599677651995,0.5079288017867598,0.18913102726359665,0.9627984294700354
37,alaranjado_37.png,alaranjado,5231.5,21.856314366258964,295.86500442028046,19.123569052699995,5.275255799796268,0.7510154923249601,162.80902648265572,60.36000174249515,112.3687057068258,58.95723557300953,43.94106676613204,57.912922867375116,0.5337913794249267,0.34905165429138363,0.11715696156758298,1.4488822667277876,0.18330088045713275,23.596605744125327,23.39789478691686,187.5289071242074,69.2163574876881,164.85080193957478,60.70913256558098,132.14248414770609,54.384242824622014,14.222864602760154,21.43265206552085,43.13148079074972,21.41557988766882,24.914701229645985,0.4967464541573491,0.1782381447997004,0.9550616584916627
38,alaranjado_38.png,alaranjado,5050.0,21.098038335010564,290.5929266214371,18.782802343791868,5.182939004510265,0.7515037714492702,174.9663638121013,57.62926392188682,130.77169920742315,62.54324987496633,45.74502223081384,49.84312658142577,0.5149594997165305,0.363748445506319,0.12129205055344182,1.3379528103907719,0.14455074393960923,25.317610670790643,24.143335932575628,186.3491204330176,61.81617749908897,179.32437657065532,59.09429452896103,147.896385076358,54.99045567223287,9.583220568335577,24.591310230737186,48.8509568915523,22.179905534150603,38.0582077035906,0.4841155741549582,0.18591378081703183,0.9394394358582373
39,alaranjado_39.png,alaranjado,4413.5,18.43884993892458,275.3797233104706,17.79947974840725,4.845314530727218,0.7313564173010624,175.74112458654906,59.065557135691506,122.39933847850055,62.09659189545725,46.7018743109151,51.59030560725662,0.5366717747132652,0.3402121175901621,0.12311610304166921,1.4358012497070543,0.17891494962055926,20.442998897464168,21.306204691862728,186.98037486218303,61.3871824073789,176.4915104740904,59.56094675005233,141.25402425578832,57.85951004605018,14.72436604189636,14.958534805174336,46.09702315325248,22.651344772989138,21.726372201125464,0.4876942022647304,0.1754611014174604,0.9656806839838814
40,alaranjado_40.png,alaranjado,4646.0,19.41019526820972,292.5929266214371,18.912074604904134,4.971300452247475,0.6819639595049078,209.55709197569664,55.03401171560768,167.9545359312801,62.95366443975832,71.99580976325163,64.18135366951124,0.4839756544047403,0.36592558450358265,0.1500987574928167,1.2477012875301996,0.11020205169538734,25.640477686989314,23.096873117651217,166.13241148124868,67.44719643331045,210.25434737062645,55.243864867968824,180.6957888120679,57.02259943104743,6.678818353236949,15.483956462011763,51.89943431803897,25.137358785672006,27.371285870941872,0.5094981296708987,0.1848781802416584,0.968389246362035
41,alaranjado_41.png,alaranjado,5882.0,24.57399237357072,304.10764491558075,19.65634143988149,5.593619477766659,0.7992455157666262,190.2533244680851,45.81493171086602,97.46609042553192,41.0680284306821,30.38813164893617,42.41834441510935,0.6128019584936873,0.3004202374867619,0.08677779999287992,1.9519950137063458,0.32249208401306106,16.6264960106383,23.211610867805824,212.13347739361703,50.923195546721615,190.6853390957447,46.116522001851436,132.0706449468085,38.82702745708448,33.01446143617022,14.151346062765214,50.369182180851055,17.672859450758903,15.088989104909704,0.5655259940805041,0.18260083814354627,0.9620311997918682
42,alaranjado_42.png,alaranjado,6758.5,28.235859819241366,338.00714004039764,21.847473632556138,5.995916385462422,0.743375824826312,194.85437174290678,49.81778537548819,131.70584829183557,61.940669498220736,39.99189345686161,49.4111555902333,0.5527415313430359,0.3470829128337655,0.10017555199853188,1.4794663470955332,0.19337481843617726,23.076433121019107,26.211225100459377,200.39099594672842,58.04231045641847,195.63650839606254,50.233272101519155,155.11971627099015,50.24804713879802,16.88607411696583,24.09744062173321,54.58410538506081,21.69082554828911,22.142365050579613,0.5530974292895607,0.16277572851616826,0.9627833350453883
